match_id,season,batting_team,bowling_team,target,won,avg_pressure,max_pressure,avg_win_prob,total_wickets,final_score
335982,2007,Royal Challengers Bengaluru,Kolkata Knight Riders,222,0,12.66009053667794,24.652173913043477,0.000101345875,10,82
335983,2007,Punjab Kings,Chennai Super Kings,240,0,8.681498187708627,187.56302521008402,0.0020664332,4,207
335984,2007,Delhi Capitals,Rajasthan Royals,129,0,-4.452421357068714,-1.9800000000000004,0.4139753,1,132
335985,2007,Royal Challengers Bengaluru,Mumbai Indians,165,1,0.5405535623695379,3.5585909417685118,0.6814863,5,166
335986,2007,Kolkata Knight Riders,Sunrisers Hyderabad,110,1,0.9529404971033515,3.7708565072302567,0.9911895,5,112
335987,2007,Rajasthan Royals,Punjab Kings,166,0,-1.8509755185338386,4.777777777777779,0.3730113,4,168
335988,2007,Delhi Capitals,Sunrisers Hyderabad,142,1,-3.0140164716989712,0.05745554035567668,0.9346992,1,143
335989,2007,Mumbai Indians,Chennai Super Kings,208,0,4.443423523098566,31.865546218487395,0.023018947,7,201
335990,2007,Rajasthan Royals,Sunrisers Hyderabad,214,1,0.27857577489733193,9.103448275862068,0.91830176,7,217
335991,2007,Mumbai Indians,Punjab Kings,182,0,16.791260097072374,390.1512605042017,0.11915352,9,116
335992,2007,Rajasthan Royals,Royal Challengers Bengaluru,135,1,-2.3258319501772347,-0.15863689776733292,0.8603571,3,138
335993,2007,Chennai Super Kings,Kolkata Knight Riders,147,1,-1.0763967270707808,4.102084831056794,0.9864514,1,152
335994,2007,Sunrisers Hyderabad,Mumbai Indians,154,1,-6.1907810934222605,-0.9605734767025096,0.9518814,0,155
335995,2007,Punjab Kings,Delhi Capitals,158,1,-1.8583069824078287,3.606469002695417,0.9037529,6,162
335996,2007,Royal Challengers Bengaluru,Chennai Super Kings,178,0,2.098615872590099,30.610169491525426,0.5754156,10,165
335997,2007,Mumbai Indians,Kolkata Knight Riders,137,1,-0.9668528644981427,1.76029181865555,0.6220936,3,138
335998,2007,Royal Challengers Bengaluru,Delhi Capitals,191,0,4.212852663878702,56.92436974789916,0.24573125,5,180
335999,2007,Punjab Kings,Sunrisers Hyderabad,164,1,-0.42418580361933517,2.776200543642404,0.61066985,3,167
336000,2007,Kolkata Knight Riders,Rajasthan Royals,196,0,5.229629996715337,46.12173913043478,0.16529983,10,151
336001,2007,Delhi Capitals,Chennai Super Kings,169,1,-3.8581019164034984,-2.0,0.8337072,2,172
336002,2007,Royal Challengers Bengaluru,Sunrisers Hyderabad,165,1,1.835433414653689,4.945054945054944,0.6247923,5,171
336003,2007,Kolkata Knight Riders,Punjab Kings,178,0,8.049371942562038,69.68067226890756,0.09300021,6,165
336004,2007,Delhi Capitals,Mumbai Indians,162,0,3.3317935395662923,17.795195954487987,0.32702205,10,133
336005,2007,Rajasthan Royals,Chennai Super Kings,109,1,-3.554311382200398,2.7222222222222223,0.9987556,2,110
336006,2007,Punjab Kings,Royal Challengers Bengaluru,126,1,-2.9182668634569744,1.2571428571428571,0.75680816,4,127
336007,2007,Sunrisers Hyderabad,Chennai Super Kings,144,1,-1.0995320378968414,5.777777777777778,0.9048267,3,148
336008,2007,Mumbai Indians,Rajasthan Royals,103,1,-1.745734647331673,2.9215686274509802,0.9914493,3,104
336009,2007,Chennai Super Kings,Delhi Capitals,187,1,-0.11094949505351828,4.894736842105264,0.6323409,6,187
336010,2007,Royal Challengers Bengaluru,Kolkata Knight Riders,129,0,0.30483198710150755,2.4501347708894876,0.6001846,4,124
336011,2007,Rajasthan Royals,Sunrisers Hyderabad,140,1,-2.0441363749372248,2.5142857142857142,0.9479491,2,141
336012,2007,Mumbai Indians,Royal Challengers Bengaluru,122,1,-2.6612037383697444,2.7115384615384617,0.9005214,1,126
336013,2007,Punjab Kings,Chennai Super Kings,181,0,6.566198354065413,99.78151260504201,0.19461237,9,163
336014,2007,Sunrisers Hyderabad,Kolkata Knight Riders,204,0,9.292627653532815,140.9747899159664,0.016980505,7,179
336015,2007,Rajasthan Royals,Delhi Capitals,156,1,1.070291583125474,6.897478991596639,0.5770122,7,159
336016,2007,Punjab Kings,Royal Challengers Bengaluru,143,1,-1.5415807826675385,2.77922077922078,0.9112301,1,144
336017,2007,Delhi Capitals,Kolkata Knight Riders,133,0,1.0423606714841527,6.056603773584906,0.19618434,10,110
336018,2007,Mumbai Indians,Chennai Super Kings,156,1,-4.67484577797999,1.08,0.8879198,1,158
336019,2007,Rajasthan Royals,Punjab Kings,221,0,13.342019868338612,236.92436974789916,0.0016613248,7,180
336020,2007,Sunrisers Hyderabad,Delhi Capitals,194,0,2.936247164522209,68.87394957983193,0.17265464,9,181
336021,2007,Mumbai Indians,Kolkata Knight Riders,67,1,-10.484674004096302,-7.112868439971244,0.9687474,2,68
336022,2007,Punjab Kings,Delhi Capitals,118,0,-6.245952903963447,-1.1473759884974841,0.22812225,3,94
336023,2007,Royal Challengers Bengaluru,Rajasthan Royals,197,0,23.57736862706511,419.6470588235294,0.0015842416,9,126
336024,2007,Sunrisers Hyderabad,Mumbai Indians,178,0,9.710268339348184,148.3361344537815,0.10572536,7,152
